sce_YJR151C	-
K10110	b4032
K10111	b4035
sce_YGR180C	-
K18326	b2077
K18324	b2470
K05844	b0852
K05845	b2131
K05846	b2130
K05846	b2128
K05847	b2129
K15548	b3241
sce_YKL096W	-
K04081	b3686
K04080	b3687
K04087	b4175
K04085	b3470
K04084	b4136
K04088	b4174
K00507	-
K15547	b4081
spo_SPBC1709.05	-
K03973	b1306
K00982	b3053
K01104	b2061
K01104	b0982
K00981	b0175
K00981	b1409
K05592	b3162
K02967	b0169
K05590	b2576
K05591	b1343
K05596	b2916
K05595	b1529
K01297	b1192
K05601	b0873
K02926	b3319
K00216	b0596
K01568	-
spo_SPBC530.07c	-
hsa_B8ZZJ2	-
K00219	b3081
K01035	b2222
K01034	b2221
K01740	-
K01744	b4139
K02031	b1484
K02032	b1483
K02033	b1486
K02034	b1485
K02035	b3020
K02035	b1487
K02036	b3725
K02037	b3727
K01585	b2938
K01584	b4117
eco_b4155	b4155
K01586	b2838
K01581	b0693
K01581	b2965
K01580	b1493
K01580	b3517
K01582	b0186
K01582	b4131
K13497	b1263
K01589	b0522
K01588	b0523
K18138	b0462
K13654	b1450
K13655	b3021
K13301	b0097
hsa_Q9C0K3	-
K08348	b1474
K08349	b1475
K02456	b3328
hsa_P63313	-
K02106	b2223
K02455	b3327
K02100	b2841
K02453	b3325
K02450	b3323
K02451	b3322
sce_YPL058C	-
K02108	b3738
K02109	b3736
K03981	b2893
K02459	b3331
K08137	b2943
hsa_Q96FU6	-
K01639	b3225
K01638	b4014
K01638	b2976
K01637	b4015
eco_b0329	b0329
K01633	b3058
K02058	b2548
K02058	b4227
K01631	b4477
K01630	b3126
K00265	b3212
hsa_I3L1U9	-
K14057	b1339
K03522	b0042
K14051	b1285
K03524	b3973
K03527	b0029
K03526	b2515
K02852	b3794
K02853	b3793
K02850	b3625
K02851	b3784
K13014	b2256
K14058	b1344
K02854	b3906
K02855	b3905
K03671	b3781
K03673	b3860
K03672	b2582
K03675	b1064
K03674	b0849
K03676	b3610
K09761	b2946
hsa_Q9BYD9	-
K02217	b1905
K02218	-
K04083	b3401
K04082	b2527
K03299	b2740
K03299	b4296
hsa_Q9NZ32	-
K03291	b2170
K03291	b0070
K03291	b3659
K03290	b3224
K03297	b0543
K13479	b2867
K03073	b3981
K03072	b0408
K03071	b3609
K03070	b0098
K03077	b4198
K03076	b3300
K03075	b3175
K03074	b0409
