K06751	H2-Q6:110557
K01195	Gusb:110006
K04268	AdoRa3:11542
K04266	AdoRa2a:11540
K04267	AdoRa2b:11541
K10798	ParP2:11546
K04257	OlfR1295:258398
K01245	AdpRh:11544
K10798	Parp1:11545
K04257	OlfR1288:258395
K04257	OlfR1328:258394
K04136	AdrA1b:11548
K04135	AdrA1a:11549
K04257	OlfR1277:258391
K04257	OlfR1276:258390
K04257	OlfR1325:258393
K04257	OlfR190:258392
K12361	Rasgrp2:19395
K11171	AwaT1:245533
K11156	AwaT2:245532
K00365	Uox:22262
K07378	Nlgn3:245537
K10417	Dync2li1:213575
K04614	Vmn1r10:113858
K08794	CamK1g:215303
K10401	Kif19a:286942
K04575	Als2:74018
K08840	TniK:665113
K02350	Rev3l:19714
K07838	Rap2b:74012
K02976	Rps26:27370
K08273	Sh2D2a:27371
K08960	CsnK1e:27373
K02516	Prmt5:27374
K06097	Tjp3:27375
K13577	Slc25a10:27376
K08955	Yme1l1:27377
K09217	SnaI3:30927
K04811	ChrNa10:504186
K03936	Gm12251:624814
K04257	OlfR1289:258399
K09437	Fev:260298
K02978	Rps27:57294
K00587	IcmT:57295
K03031	Psmd8:57296
K12029	TriM61:260296
K00678	LraT:79235
K04257	OlfR1303:258397
K04257	OlfR600:259048
K04257	OlfR1305:258396
K14021	Bak1:12018
K10995	Rad9b:231724
K02158	Bad:12015
K09042	BacH2:12014
K09555	Bag1:12017
K04257	OlfR1414:259041
K04257	OlfR679:259046
K08055	B2m:12010
K04257	OlfR1353:259044
K00659	Baat:12012
K04368	Map2k1:26395
K06130	Lypla2:26394
K04432	Map2k3:26397
K04369	Map2k2:26396
K05665	Abcc1:17250
K01948	Cps1:227231
K11152	Rdh11:17252
K13097	Tet1:52463
K04433	Map2k6:26399
K04430	Map2k4:26398
K11588	MecP2:17257
K12830	Sf3b3:101943
K05457	Nrg3:18183
K04302	Gpr85:64450
K10051	CebPe:110794
K10159	Tlr2:24088
K13047	Tll2:24087
K08864	Tlk2:24086
K09228	Zfp617:170938
K11306	MysT4:54169
K08535	Nr1H2:22260
K02924	Rpl39l:68172
K12160	Sumo2:170930
K12458	Zfp369:170936
K04613	Vmn2r15:211223
K12471	Epn3:71889
K00864	Gk2:14626
K09645	CpvL:71287
K10295	FbxO9:71538
K11885	Ddi1:71829
K03122	Gtf2a1l:71828
K08899	LmtK3:381983
K06553	VprEb3:22364
K11204	Gclc:14629
K03243	Eif5b:226982
K10465	KlhL29:208439
K04542	Gm4356:100043318
K08520	Sec22c:215474
K07196	Trip10:106628
K01011	Mpst:246221
K09355	Pbx1:18514
K08008	Nox1:237038
K08008	Cybb:13058
K06788	Cxadr:13052
K04192	Cx3Cr1:13051
K08009	CybA:13057
K13073	Pigr:18703
K04257	OlfR338:258949
K05287	PigF:18701
K03857	PigA:18700
K00922	Pik3cd:18707
K00922	Pik3ca:18706
K00923	Pik3c2g:18705
K00923	Pik3c2a:18704
K04422	Map3k13:71751
K04257	OlfR354:258941
K02649	Pik3r2:18709
K02649	Pik3r1:18708
K00078	Dhdh:71755
K04257	OlfR347:258945
K04257	OlfR348:258946
K04257	OlfR345:258947
K06568	Muc1:17829
K10493	ZbtB6:241322
K05768	Scin:20259
K03127	Taf13:99730
K13523	Agpat4:68262
K05409	TicAm2:225471
K00507	Scd2:20250
K08615	AdaM30:71078
K04890	KcnC4:99738
K12800	NlrP3:216799
K09546	HspB7:29818
K04130	ChrM2:243764
K01064	Wnt9a:216795
K09557	Bag3:29810
K10808	Rrm2b:382985
K11802	DcaF10:242418
K05651	AbcA9:217262
K05648	AbcA5:217265
K09228	Rsl1:380855
K09228	Gm5141:380850
K08018	Rapgef2:76089
K13350	Pxmp4:59038
K11583	Ppp2r3c:59032
K09492	MkkS:59030
K04742	ChsT12:59031
K05931	CarM1:59035
K01120	Pde4d:238871
K11652	ActL6b:83766
K08800	NuaK1:77976
K11153	Rdh12:77974
K05749	Cyfip2:76884
K04920	KcnK10:72258
K06238	Col6a1:12833
K06236	Col5a2:12832
K06236	Col5a1:12831
K10802	Hmgb1:15289
K01749	Hmbs:15288
K06238	Col6a2:12834
K08025	Mnx1:15285
K09296	HoxC11:109663
K08131	Col9a1:12839
K11486	Phf19:74016
K11257	Fut11:73068
K04257	OlfR484:258492
K04257	OlfR319:258493
K04257	OlfR492:258490
K04257	OlfR490:258491
K04257	OlfR961:258497
K04257	OlfR318:258494
K04257	OlfR328:258495
K05514	Ccl26:541307
K04257	OlfR945:258499
K05204	GriK4:110637
K04294	LpaR3:65086
K08111	Gpc5:103978
K00102	Ldhd:52815
K09260	Mef2a:17258
K12008	TriM26:22670
K13963	SerPinb13:241196
K13167	SrsF15:224432
