MG_160	rpsQ	K02961	30S ribosomal protein S17
MG_418	rplM	K02871	50S ribosomal protein L13
MG_162	rplX	K02895	50S ribosomal protein L24
MG_163	rplE	K02931	50S ribosomal protein L5
MG_164	rpsN	K02954	30S ribosomal protein S14
MG_165	rpsH	K02994	30S ribosomal protein S8
MG_166	rplF	K02933	50S ribosomal protein L6
MG_161	rplN	K02874	50S ribosomal protein L14
MG_410	pstB	K02036	phosphate ABC transporter ATP-binding protein 
MG_411	pstA	K02037	phosphate ABC transporter permease
MG_rrnA23S	rrlA	K01980	23S ribosomal RNA
MG_417	rpsI	K02996	30S ribosomal protein S9
MG_498	mutM	K10563	formamidopyrimidine-DNA glycosylase 
MG_099	gatA	K02433	aspartyl/glutamyl-tRNA amidotransferase subunit A
MG_311	rpsD	K02986	30S ribosomal protein S4
MG_094	dnaB	K02314	replicative DNA helicase
MG_097	ung	K03648	uracil-DNA glycosylase
MG_090	rpsF	K02990	30S ribosomal protein S6
MG_091	ssb	K03111	single-strand binding protein family
MG_092	rpsR	K02963	30S ribosomal protein S18
MG_093	rplI	K02939	50S ribosomal protein L9
MG_168	rpsE	K02988	30S ribosomal protein S5
MG_169	rplO	K02876	50S ribosomal protein L15
MG_258	prfA	K02835	peptide chain release factor 1
MG_013	folD	K01491	methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase 
MG_257	rpmE	K02909	50S ribosomal protein L31
MG_426	rpmB	K02902	50S ribosomal protein L28
MG_253	cysS	K01883	cysteinyl-tRNA synthetase 
MG_250	dnaE	K02316	DNA primase
MG_077	oppB	K15581	peptide ABC transporter permease
MG_282	greA	K03624	transcription elongation factor GreA
MG_072	secA	K03070	preprotein translocase subunit SecA
MG_073	uvrB	K03702	excinuclease ABC subunit B
MG_179	cbiO	K16786	cobalt transporter ATP-binding subunit
MG_178	rplQ	K02879	50S ribosomal protein L17
MG_177	rpoA	K03040	DNA-directed RNA polymerase subunit alpha 
MG_176	rpS11	K02948	30S ribosomal protein S11
MG_175	rpsM	K02952	30S ribosomal protein S13
MG_174	rpmJ	K02919	50S ribosomal protein L36
MG_173	infA	K02518	translation initiation factor IF-1
MG_172	map	K01265	methionine aminopeptidase, type I 
MG_171	adk	K00939	adenylate kinase 
MG_170	secY	K03076	preprotein translocase subunit SecY
MG_167	rplR	K02881	50S ribosomal protein L18
MG_361	rplJ	K02864	50S ribosomal protein L10
MG_442	rbgA	K14540	ribosomal biogenesis GTPase
MG_482	acpS	K00997	4'-phosphopantetheinyl transferase 
MG_481	rpsU	K02970	30S ribosomal protein S21
MG_362	rplL	K02935	50S ribosomal protein L7/L12
MG_363	rpmF	K02911	50S ribosomal protein L32
MG_089	fus	K02355	elongation factor G
MG_088	rpS7	K02992	30S ribosomal protein S7
MG_367	rnc	K03685	ribonuclease III 
MG_152	rplD	K02926	50S ribosomal protein L4
MG_365	fmt	K00604	methionyl-tRNA formyltransferase 
MG_083	pth	K01056	peptidyl-tRNA hydrolase 
MG_082	rplA	K02863	50S ribosomal protein L1
MG_368	plsX	K03621	glycerol-3-phosphate acyltransferase PlsX
MG_080	oppF	K10823	peptide ABC transporter ATP-binding protein
MG_087	rpsL	K02950	30S ribosomal protein S12
MG_086	lgt	K13292	prolipoprotein diacylglyceryl transferase
MG_085	ser	K06023	HPr kinase/phosphorylase
MG_446	rpsP	K02959	30S ribosomal protein S16
MG_003	gyrB	K02470	DNA gyrase subunit B 
MG_001	dnaN	K02338	DNA polymerase III subunit beta 
MG_249	rpoD	K03086	RNA polymerase sigma factor
MG_006	tmk	K00943	thymidylate kinase 
